iterm,facet,domain,subject,lword
national housing authority,phenomenon_object,Governance,institutional frameworks,national housing authority
national policy,concept,Governance,public policy,national policy
new public management,concept,Governance,political science,new public management
non-governmental organization,concept,Governance,political science,non-governmental organization
performance monitoring,phenomenon_process,Governance,monitoring and control systems,performance monitoring
planning method,phenomenon_process,Governance,urban planning,planning method
planning policy,concept,Governance,public policy,planning policy
planning system reform,concept,Governance,public policy,planning system reform
planning technique,concept,Governance,urban planning,planning technique
policy advice,concept,Governance,policy studies,policy advice
policy analysis,concept,Governance,policy studies,policy analysis
policy concept,concept,Governance,policy studies,policy concept
policy design,phenomenon_process,Governance,policy studies,policy design
policy evaluation,phenomenon_process,Governance,policy studies,policy evaluation
policy feedback,concept,Governance,policy studies,policy feedback
policy formation,phenomenon_process,Governance,policy studies,policy formation
policy impact,concept,Governance,policy studies,policy impact
policy implementation,phenomenon_process,Governance,policy studies,policy implementation
policy implication,concept,Governance,policy studies,policy implication
policy instrument,concept,Governance,policy studies,policy instrument
policy making,phenomenon_process,Governance,policy studies,policy making
policy measure,concept,Governance,policy studies,policy measure
policy mix,concept,Governance,policy studies,policy mix
policy process,phenomenon_process,Governance,policy studies,policy process
policy tools,concept,Governance,policy studies,policy tools
political factor,concept,Governance,political science,political factor
politics,concept,Governance,political science,politics
procurement policy,concept,Governance,public policy,procurement policy
programme governance,concept,Governance,programme management,program governance
programme governance,concept,Governance,programme management,programme governance
project governance framework,concept,Governance,project management,project governance framework
public expenditure,concept,Governance,political science,public expenditure
public interest,concept,Governance,political science,public interest
public management assessment,concept,Governance,political science,public management assessment
public policy,concept,Governance,public policy,public policy
public value,concept,Governance,political science,public value
public value theory,theoretical_framing,Governance,social economics,public value theory
public well-being,concept,Governance,political science,public well-being
regional development,phenomenon_process,Governance,urban planning,regional development
regulation,concept,Governance,political science,regulation
regulatory system,concept,Governance,political science,regulatory system
remote monitoring,phenomenon_process,Governance,monitoring and control systems,remote monitoring
reporting guideline,phenomenon_object,Governance,monitoring and control systems,reporting guideline
resilience building policy,concept,Governance,policy studies,resilience building policy
scenario analysis,analytical_technique,Governance,policy studies,scenario analysis
self-governance,concept,Governance,policy studies,self-governance
smart governance,phenomenon_process,Governance,business,smart governance
social return on investment,concept,Governance,social impact assessment,social return on investment
state-owned construction enterprise,phenomenon_object,Governance,government bodies,state-owned construction enterprise
surveillance,concept,Governance,monitoring and control systems,surveillance
UNESCO,phenomenon_object,Governance,institutional frameworks,UNESCO
United Nations,phenomenon_object,Governance,institutional frameworks,United Nations
urban governance,concept,Governance,urban planning,urban governance
urban local government,concept,Governance,urban planning,urban local government
urban planning,theoretical_framing,Governance,urban planning,urban planning
urban planning paradigm,theoretical_framing,Governance,urban planning,urban planning paradigm
urban planning policy,concept,Governance,urban planning,urban planning policy
urban policy,concept,Governance,urban planning,urban policy
urban politic,concept,Governance,urban planning,urban politic
urbanization,concept,Governance,urban planning,urbanization
urban-regional development,theoretical_framing,Governance,urban planning,urban-regional development
World Bank,phenomenon_object,Governance,institutional frameworks,World Bank
World Trade Organization,phenomenon_object,Governance,institutional frameworks,World Trade Organization
zoning,concept,Governance,urban planning,zoning
affordable sustainable housing,concept,Health and Safety,health safety and environment,affordable sustainable housing
alcohol,concept,Health and Safety,psychology,alcohol
anxiety,concept,Health and Safety,mental health and wellbeing,anxiety
assessment for learning,phenomenon_process,Health and Safety,health monitoring assessment and metrics,assessment for learning
back pain,concept,Health and Safety,occupational health and safety management,back pain
back-loading,concept,Health and Safety,occupational health and safety management,back-loading
balance control,concept,Health and Safety,occupational health and safety management,balance control
blood pressure,concept,Health and Safety,health monitoring assessment and metrics,blood pressure
body temperature,concept,Health and Safety,health monitoring assessment and metrics,body temperature
building control,phenomenon_process,Health and Safety,health safety and environment,building control
building security cost,concept,Health and Safety,health safety and environment,building security cost
burnout,concept,Health and Safety,occupational health and safety management,burnout
cardiovascular disease,concept,Health and Safety,health monitoring assessment and metrics,cardiovascular disease
care provision,concept,Health and Safety,public and environmental health,care provision
causes of site accidents,concept,Health and Safety,health safety and environment,causes of site accidents
cholesterol,concept,Health and Safety,health monitoring assessment and metrics,cholesterol
chronic illness,concept,Health and Safety,health conditions and diseases,chronic illness
clothing,concept,Health and Safety,occupational health and safety management,clothing
code compliance,phenomenon_process,Health and Safety,health safety and environment,code compliance
comfort,concept,Health and Safety,occupational health and safety management,comfort
compliance,concept,Health and Safety,health safety and environment,compliance
condom,concept,Health and Safety,health behaviours and lifestyles,condom
construction accident,concept,Health and Safety,occupational health and safety management,construction accident
construction incident,concept,Health and Safety,health risk and incident analysis,construction incident
construction safety monitoring,phenomenon_process,Health and Safety,occupational health and safety management,construction safety monitoring
construction site accident,concept,Health and Safety,health risk and incident analysis,construction site accident
coronavirus,phenomenon_object,Health and Safety,health conditions and diseases,coronavirus
corporate citizenship,concept,Health and Safety,health safety and environment,corporate citizenship
corporate social responsibility,concept,Health and Safety,health safety and environment,corporate social responsibility
corporate volunteering,concept,Health and Safety,health safety and environment,corporate volunteering
costs of safety,concept,Health and Safety,health safety and environment,costs of safety
COVID-19,phenomenon_object,Health and Safety,health risk and incident analysis,covid-19
dementia,concept,Health and Safety,health conditions and diseases,dementia
design for safety,concept,Health and Safety,health safety and environment,design for safety
diabetes,phenomenon_object,Health and Safety,health conditions and diseases,diabetes
dimension,concept,Health and Safety,health monitoring assessment and metrics,dimension
disability,phenomenon_object,Health and Safety,health conditions and diseases,disability
discomfort,concept,Health and Safety,health risk and incident analysis,discomfort
disease control,phenomenon_process,Health and Safety,public and environmental health,disease control
disease transmission,phenomenon_process,Health and Safety,health risk and incident analysis,disease transmission
dosage,concept,Health and Safety,health monitoring assessment and metrics,dosage
e coli,phenomenon_object,Health and Safety,health conditions and diseases,e coli
ebola,phenomenon_object,Health and Safety,health conditions and diseases,ebola
ecological modernization,phenomenon_process,Health and Safety,health safety and environment,ecological modernization
emergency evacuation,concept,Health and Safety,health safety and environment,emergency evacuation
emergency preparedness,concept,Health and Safety,safety engineering,emergency preparedness
emergency response,concept,Health and Safety,safety engineering,emergency response
emergency response plan,phenomenon_process,Health and Safety,health safety and environment,emergency response plan
enforcement,concept,Health and Safety,health safety and environment,enforcement
environmental health and safety,concept,Health and Safety,health safety and environment,environmental health and safety
environmental performance metric,phenomenon_process,Health and Safety,health safety and environment,environmental performance metric
environmental regulation,concept,Health and Safety,health safety and environment,environmental regulation
environmental services design,phenomenon_process,Health and Safety,health safety and environment,environmental services design
environmental sustainability,concept,Health and Safety,health safety and environment,environmental sustainability
ergonomics,concept,Health and Safety,occupational health and safety management,ergonomics
escape,concept,Health and Safety,emergency and crisis management,escape
ethical conduct,phenomenon_process,Health and Safety,health safety and environment,ethical conduct
evacuation time,concept,Health and Safety,emergency and crisis management,evacuation time
excess mortality,concept,Health and Safety,health monitoring assessment and metrics,excess mortality
